cmId	name	matchCount	firstDate	lastDate
1149	Dick The Bruiser	332	1964-03-26	1987-08-08
3275	Wilbur Snyder	265	1964-03-26	1983-06-25
942	Moose Cholak	258	1964-05-15	1987-08-08
5457	Paul Christy	183	1967-09-30	1985-11-09
631	Angelo Poffo	145	1964-03-26	1972-10-23
3986	Prince Pullins	145	1964-12-25	1977-02-19
2531	Spike Huber	125	1975-04-19	1984-01-07
2605	Jerry Valiant	121	1964-06-16	1984-02-18
10810	Bobby Bold Eagle	119	1967-09-09	1983-11-19
262	Baron von Raschke	118	1969-08-23	1980-11-15
3036	Mitsu Arakawa	110	1966-08-20	1975-09-20
491	Blackjack Lanza	105	1966-11-24	1973-02-24
1150	Jimmy Valiant	102	1972-12-26	1978-12-02
770	Bobby Heenan	96	1966-05-07	1979-12-08
3968	Steve Regal	91	1975-11-29	1983-10-08
3283	Joe Tomasso	82	1965-07-17	1970-04-18
6762	Luis Martinez	80	1966-05-07	1980-08-22
868	Johnny Valiant	79	1973-10-13	1981-09-19
3049	Art Thomas	77	1971-11-06	1980-11-15
1929	Bob Ellis	71	1964-05-29	1975-04-19
12746	Ken Dillinger	71	1968-10-12	1977-12-26
852	Bobo Brazil	70	1964-12-25	1985-01-19
5068	Pvt. Don Fargo	66	1968-10-12	1975-04-15
21615	El Bracero	63	1972-07-15	1987-08-08
1392	Bill Miller	57	1964-03-26	1976-12-11
1973	Pepper Gomez	57	1973-06-16	1979-04-01
9027	Nicoli Volkoff	57	1964-03-26	1973-04-14
325	Blackjack Mulligan	55	1971-09-18	1981-10-11
1139	Ernie Ladd	53	1966-03-24	1980-11-29
1138	The Crusher	50	1966-12-28	1979-12-08
6820	Johnny Starr	50	1974-07-20	1981-09-19
9005	Billy Red Cloud	49	1972-01-13	1973-12-27
13565	Johnny Kace	48	1964-07-03	1973-11-17
8553	Ali Hassan	47	1977-03-05	1982-06-05
10584	Tom Lynch	46	1970-04-18	1983-06-04
990	The Valiant Brothers	45	1973-11-17	1978-12-02
1441	Ox Baker	40	1974-07-20	1983-02-12
20842	Ricky Cortez	40	1971-09-18	1974-01-26
3246	Jim Dillinger	39	1969-09-20	1972-02-22
15613	Ivan Volkoff	39	1965-01-22	1978-02-04
10690	Gilbert Guerrero	38	1972-01-08	1985-01-19
15	The Blackjacks	37	1971-10-14	1973-01-21
18430	The Bounty Hunter #2	36	1972-03-18	1987-08-08
1522	The Assassins	35	1965-07-17	1966-08-28
3128	Bobby Managoff	35	1964-03-26	1966-08-28
687	Ivan Koloff	32	1973-12-08	1977-12-26
5894	Roger Kirby	32	1964-03-26	1980-11-15
1423	Dr. Moto	31	1967-07-22	1969-01-24
3274	Don Kent	31	1969-11-08	1986-06-22
9306	Jerry Graham Jr.	31	1977-06-18	1986-06-22
4235	Cora Combs	30	1964-07-17	1975-12-13
11856	Dennis Dolly	28	1964-03-26	1967-12-27
6556	Bounty Hunter I	27	1976-05-01	1977-03-05
953	Al Costello	26	1969-11-08	1977-04-30
1521	The Chain Gang	26	1969-10-18	1970-06-26
1993	Chris Markoff	26	1966-08-06	1968-12-27
2349	Igor Volkoff	26	1975-04-19	1979-04-28
15935	Frank Dillinger	26	1968-10-12	1969-08-29
29439	Clem Turner	26	1972-05-23	1975-01-25
