id,title,category,year,publisher,authors,country,era,subject,isbn13,synopsis,source_url,confidence
436,Tributes: Remembering Some of the World's Greatest Wrestlers,about_wrestler,2001,Sports Publishing,Dave Meltzer,US,,,9781582613918,Meltzer's collected obituaries from the Wrestling Observer Newsletter.,https://slamwrestling.net/archives/books/,high
646,Broken Harts: The Life and Death of Owen Hart,about_wrestler,2002,M. Evans & Co.,Eric Francis; Martha Hart,Canada,attitude,Owen Hart,9781590770214,Owen Hart's widow's memoir following his 1999 in-ring death.,,high
635,"Sex, Lies, and Headlocks: The Real Story of Vince McMahon and the World Wrestling Federation",about_wrestler,2002,Crown Publishers,Mike Mooneyham; Shaun Assael,US,attitude,Vince McMahon,9780609607909,Investigative journalism on the McMahon empire through the Attitude Era.,,high
648,Stu Hart: Lord of the Ring,about_wrestler,2002,ECW Press,Marsha Erb,Canada,territorial,Stu Hart,9781550225013,Authorized biography of Stu Hart and Stampede Wrestling.,,high
630,The Pro Wrestling Hall of Fame: The Canadians,about_wrestler,2003,ECW Press,Greg Oliver,Canada,,,9781550225594,Profiles of legendary Canadian wrestlers.,,high
628,Tributes II: Remembering More of Wrestling's Greatest Heroes,about_wrestler,2004,Sports Publishing,Dave Meltzer,US,,,9781582618173,Second volume of Meltzer's wrestling obituaries.,,high
390,The Pro Wrestling Hall of Fame: The Tag Teams,about_wrestler,2005,ECW Press,Brian Young; Dan Murphy,Canada,,,9781550226836,Profiles of the greatest tag teams in wrestling history.,https://slamwrestling.net/archives/books/,high
39,Benoit: Wrestling with the Horror that Destroyed a Family and Crippled a Sport,about_wrestler,2007,ECW Press,Greg Oliver; Heath McCoy; Irvin Muchnick; Steven Johnson,Canada,modern,Chris Benoit,9781550228175,Multi-author book on Benoit released soon after the tragedy.,https://slamwrestling.net/archives/books/,high
61,Brody: The Triumph and Tragedy of Wrestling's Rebel,about_wrestler,2007,ECW Press,Barbara Goodish; Larry Matysik,Canada,territorial,Bruiser Brody,9781550227161,Bruiser Brody biography co-written with his widow.,https://slamwrestling.net/archives/books/,high
629,The Pro Wrestling Hall of Fame: The Heels,about_wrestler,2007,ECW Press,Greg Oliver; Steven Johnson,Canada,,,9781550227598,Profiles of wrestling's greatest villains.,,high
623,Dungeon of Death: Chris Benoit and the Hart Family Curse,about_wrestler,2008,Citadel Press,Scott Keith,US,modern,Chris Benoit,9780806530110,Keith's analysis of Benoit's 2007 murder-suicide and Hart family tragedies.,,high
643,Gorgeous George: The Bizarre Life of the Sports Entertainer Who Invented Showmanship,about_wrestler,2008,Harper,John Capouya,US,golden_age,Gorgeous George,9780061173462,Definitive biography of the wrestler who invented modern showmanship.,,high
645,Ring of Hell: The Story of Chris Benoit and the Fall of the Pro Wrestling Industry,about_wrestler,2008,Phoenix Books,Matthew Randazzo V,US,modern,Chris Benoit,9781597775083,Polemical investigation of the Benoit tragedy and wrestling's culture.,,high
79,Chris & Nancy: The True Story of the Benoit Murder-Suicide and Pro Wrestling's Cocktail of Death,about_wrestler,2009,ECW Press,Irvin Muchnick,Canada,modern,Chris Benoit,9781550229127,Investigative book on the 2007 Benoit tragedy.,https://slamwrestling.net/archives/books/,high
627,WWE Confidential: The Real Vince McMahon,about_wrestler,2010,ECW Press,R.D. Reynolds,Canada,modern,Vince McMahon,,,,high
634,The 50 Greatest Professional Wrestlers of All Time,about_wrestler,2013,ECW Press,Larry Matysik,Canada,,,9781770410893,Matysik's ranked list of wrestling's all-time greats.,,high
631,The Pro Wrestling Hall of Fame: The Storytellers,about_wrestler,2014,ECW Press,Greg Oliver; Steven Johnson,Canada,,,9781770411289,Profiles of wrestling's greatest in-ring storytellers.,,high
633,The Eighth Wonder of the World: The True Story of Andre the Giant,about_wrestler,2020,ECW Press,Bertrand Hebert; Pat Laprade,Canada,rock_n_wrestling,Andre the Giant,9781770414112,Definitive Andre the Giant biography drawn from family and contemporary interviews.,,high
418,The Wrestlers' Wrestlers: The Masters of the Craft of Professional Wrestling,about_wrestler,2021,ECW Press,Brian Young; Dan Murphy,Canada,,,9781770415409,Profiles of the workers other workers consider the best in the business.,https://slamwrestling.net/archives/books/,high
620,The Last Real World Champion: The Legend of Nature Boy Ric Flair,about_wrestler,2024,ECW Press,Tim Hornbaker,Canada,territorial,Ric Flair,9781770417182,Hornbaker's exhaustive biography of Flair's NWA reign.,,high
4,(Un)Controlled Chaos: Canada's Remarkable Professional Wrestling Legacy,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
5,1000 Wrestlers,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
10,A Diva Was A Female Version of a Wrestler: An Abbreviated Herstory of World Wrestling Entertainment,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
11,A Fool for Old School....Wrestling That Is,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
14,"A Star Shattered: The Rise & Fall of Wrestling Diva Tammy ""Sunny"" Sytch",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
15,AEW Origins,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
16,Accepted: How the First Gay Superstar Changed WWE,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
566,All-South Wrestling Alliance,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/53-ttl3.html,high
20,Almanach de lutte du Quebec,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
22,An Encyclopedia of Women's Wrestling: 100 Profiles of the Strongest in the Sport,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
23,Andre the Giant: A Legendary Life,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
24,Andre the Giant: Life and Legend,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
25,Animal,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
26,"Are We There Yet?, Tales From the Never-Ending Travels of WWE Superstars",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
27,"As The Sun Rises Over Diamond Head: The Life and Family of Curtis ""Da Bull"" Iaukea",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
514,"Assassin"" Joe Hamilton",about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/03-jh.html,high
28,Assassin: The Man Behind the Mask,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
29,Atlas: Too Much... Too Soon,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
30,Austin 3:16 – 316 Facts and Stories About Stone Cold Steve Austin,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
31,Backlund: From All-American Boy to Professional Wrestling's World Champion,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
32,Bad to the Bone: 25 Years of Riots and Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
33,Bahamian Rhapsody: The Unofficial History of Pro Wrestling's Unofficial Territory 1960 – 2020,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
34,"Ballyhoo!: The Roughhousers, Con Artists, And Wildmen Who Invented Professional Wrestling",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
35,Bang Your Head! The Real Story of the Missing Link,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
36,Banner Days: The Life of Pro Wrestling Legend Penny Banner,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
38,"Beer, Blood, and Cornmeal: Seven Years of Incredibly Strange Wrestling",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
41,Big Bill Anderson Remembers... His Fallen Friends of Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
42,Big Bill Anderson Remembers... The School of Wrestling!,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
44,Bigger! Better! Badder! – The Road to WrestleMania 3,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
43,"Bigger, Better, Badder!",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
45,"Billy Riley: The Man, The Legacy",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
49,"Blood Red Turns Dollar Green, Vol. 2",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
50,"Blood Red Turns Dollar Green, Vol. 3",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
51,Bobby Williams: The Story of How I Never Made It,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
52,Body Slams! In-Your-Face Insults From the World of Pro Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
53,Bodyslams in Buffalo,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
54,Bodyslams! Memoirs of a Wrestling Pitchman,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
55,Bodysmasher,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
56,Bodysmasher 2: Death Match,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
57,Booker T: From Prison to Promise; Life Before the Squared Circle,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
517,Breaking Kayfabe,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/27-kf.html,high
58,Breaking Kayfabe: Dinner with the Legends of Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
59,Brisco: The Life and Times of National Collegiate and World Heavyweight Champion Jack Brisco,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
60,British Wrestling in the 1980's: The Saturday Afternoon War,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
62,Bronko: The Legendary Story Of The NFL's Greatest Two-Way Fullback,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
63,Bruiser Brody,about_wrestling,,Crowbar Press,Scott Teal,,,,,,https://slamwrestling.net/archives/books/,low
66,Brute Power: The Buggsy McGraw Story,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
67,Bump,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
68,Business Is About to Pick Up!: 50 Years of Wrestling in 50 Unforgettable Calls,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
69,Captain Lou Albano: Often Imitated and Never Duplicated,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
70,Captiol Revolution: The Rise of the McMahon Wrestling Empire,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
71,Chairshots and Other Obstacles: Winning Life's Wrestling Matches,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
72,Champion of the World,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
73,Champions of the Galaxy: Genesis,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
565,Championship Wrestling from Florida,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/33-ttl2.html,high
568,Charles Starrett,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/ot02-ct.html,high
74,Charting The Territories Presents: The 1971-1973 LeRoy McGuirk Oklahoma/Louisiana Wrestling Almanac,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
75,Charting The Territories: The 1971-1973 Heart Of America / Central States Wrestling Almanac,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
76,Chasing The Dream: 50 of Stardom's Greatest Matches,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
78,Chokehold: Pro Wrestling's Real Mayhem Outside the Ring,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
80,Chris Candido: No Gimmicks Needed,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
81,Chris and Nancy: The True Story of the Benoit Murder-Suicide and Pro Wrestling's Cocktail Of Death,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
