publication_date	list_label	scope	rank	entry_name	issue_url
1984-02-01	Top 10	singles	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Top 10	singles	5	David Von Erich	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Top 10	singles	6	Barry Windham	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Top 10	singles	7	Mil Mascaras	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Top 10	singles	8	Bob Backlund	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Top 10	singles	9	Hulk Hogan	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Top 10	singles	10	Greg Valentine	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	2	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	3	Tommy Rich	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	4	Junkyard Dog	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	5	Roddy Piper	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	6	Jimmy Snuka	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	7	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	8	Barry Windham	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	9	Bob Backlund	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Popular	most_popular	10	Scott Casey	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Hated	most_hated	1	Butch Reed	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Hated	most_hated	2	Ron Bass	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Hated	most_hated	3	Jake Roberts	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Hated	most_hated	4	Mr. Saito	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Hated	most_hated	5	Greg Valentine	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Hated	most_hated	6	Ted DiBiase	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Hated	most_hated	7	Buzz Sawyer	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Most Hated	most_hated	8	Abdullah The Butcher	http://www.profightdb.com/pwi-monthly/february-1984-276.html
