publication_date	list_label	scope	rank	entry_name	pfdb_id	issue_url
1984-09-01	Top 10	singles	1	Ric Flair	138	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Top 10	singles	3	Jumbo Tsuruta	1040	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Top 10	singles	4	Hulk Hogan	19	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Top 10	singles	6	Dusty Rhodes	109	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Top 10	singles	7	Kerry Von Erich	119	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Top 10	singles	8	Carlos Colon	155	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Top 10	singles	9	Ricky Steamboat	5	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Top 10	singles	10	Rick Martel	60	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Popular	most_popular	3	Dusty Rhodes	109	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Popular	most_popular	4	Hulk Hogan	19	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Popular	most_popular	5	Kerry Von Erich	119	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Popular	most_popular	6	Junkyard Dog	9	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Popular	most_popular	7	Sergeant Slaughter	121	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Popular	most_popular	8	Jerry Lawler	150	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Popular	most_popular	9	Ricky Steamboat	5	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Hated	most_hated	2	Kevin Sullivan	505	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Hated	most_hated	3	The Spoiler	1690	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Hated	most_hated	4	Buzz Sawyer	543	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Hated	most_hated	5	The Iron Sheik	12	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Hated	most_hated	6	Krusher Kruschev	92	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Hated	most_hated	8	Butch Reed	71	http://www.profightdb.com/pwi-monthly/september-1984-283.html
1984-09-01	Most Hated	most_hated	9	Jim Garvin	495	http://www.profightdb.com/pwi-monthly/september-1984-283.html
