Filename,Publication,Issue,Publication Date,Date Added to Catalog,What's on the Cover,Folder Path
Wrestling As You Like It - 1950 - November.pdf,Wrestling As You Like It,November 1950,1950-11-01,2026-04-26,,1950s/1950/Wrestling As You Like It
Wrestling As You Like It - 1954 - July.pdf,Wrestling As You Like It,July 1954,1954-07-01,2026-04-26,,1950s/1954/Wrestling As You Like It
Wrestling World - 1954 - July.pdf,Wrestling World,July 1954,1954-07-01,2026-04-26,,1950s/1954/Wrestling World
Wrestling Life - 1957 - May.pdf,Wrestling Life,May 1957,1957-05-01,2026-04-26,,1950s/1957/Wrestling Life
Wrestling Revue - 1959 - Fall.pdf,Wrestling Revue,Fall 1959,1959 (Fall),2026-04-26,,1950s/1959/Wrestling Revue
Wrestling Life - 1960 - April.pdf,Wrestling Life,April 1960,1960-04-01,2026-04-26,,1960s/1960/Wrestling Life
Wrestling Revue - 1961 - December.pdf,Wrestling Revue,December 1961,1961-12-01,2026-04-26,,1960s/1961/Wrestling Revue
Wrestling Revue - 1961 - Fall.pdf,Wrestling Revue,Fall 1961,1961 (Fall),2026-04-26,,1960s/1961/Wrestling Revue
Wrestling Revue - 1961 - Spring.pdf,Wrestling Revue,Spring 1961,1961 (Spring),2026-04-26,,1960s/1961/Wrestling Revue
Wrestling Revue - 1961 - Summer.pdf,Wrestling Revue,Summer 1961,1961 (Summer),2026-04-26,,1960s/1961/Wrestling Revue
Wrestling Revue - 1961 - Winter.pdf,Wrestling Revue,Winter 1961,1961 (Winter),2026-04-26,,1960s/1961/Wrestling Revue
Wrestling Revue - 1962 - April.pdf,Wrestling Revue,April 1962,1962-04-01,2026-04-26,,1960s/1962/Wrestling Revue
Wrestling Revue - 1962 - August.pdf,Wrestling Revue,August 1962,1962-08-01,2026-04-26,,1960s/1962/Wrestling Revue
Wrestling Revue - 1962 - December.pdf,Wrestling Revue,December 1962,1962-12-01,2026-04-26,,1960s/1962/Wrestling Revue
Wrestling Revue - 1962 - February.pdf,Wrestling Revue,February 1962,1962-02-01,2026-04-26,,1960s/1962/Wrestling Revue
Wrestling Revue - 1962 - June.pdf,Wrestling Revue,June 1962,1962-06-01,2026-04-26,,1960s/1962/Wrestling Revue
Wrestling Revue - 1962 - October.pdf,Wrestling Revue,October 1962,1962-10-01,2026-04-26,,1960s/1962/Wrestling Revue
Wrestling World - 1962 - November.pdf,Wrestling World,November 1962,1962-11-01,2026-04-26,,1960s/1962/Wrestling World
Wrestling World - 1962 - September.pdf,Wrestling World,September 1962,1962-09-01,2026-04-26,,1960s/1962/Wrestling World
Big Time Wrestling - 1963 - November.pdf,Big Time Wrestling,November 1963,1963-11-01,2026-04-26,,1960s/1963/Big Time Wrestling
Wrestling Revue - 1963 - April (1).pdf,Wrestling Revue,April 1963,1963-04-01,2026-04-26,,1960s/1963/Wrestling Revue
Wrestling Revue - 1963 - April (3).pdf,Wrestling Revue,April 1963,1963-04-01,2026-04-26,,1960s/1963/Wrestling Revue
Wrestling Revue - 1963 - April.pdf,Wrestling Revue,April 1963,1963-04-01,2026-04-26,,1960s/1963/Wrestling Revue
Wrestling Revue - 1963 - December.pdf,Wrestling Revue,December 1963,1963-12-01,2026-04-26,,1960s/1963/Wrestling Revue
Wrestling Revue - 1963 - February.pdf,Wrestling Revue,February 1963,1963-02-01,2026-04-26,,1960s/1963/Wrestling Revue
Wrestling Revue - 1963 - October.pdf,Wrestling Revue,October 1963,1963-10-01,2026-04-26,,1960s/1963/Wrestling Revue
Wrestling World - 1963 - August.pdf,Wrestling World,August 1963,1963-08-01,2026-04-26,,1960s/1963/Wrestling World
Wrestling World - 1963 - December.pdf,Wrestling World,December 1963,1963-12-01,2026-04-26,,1960s/1963/Wrestling World
Wrestling World - 1963 - January.pdf,Wrestling World,January 1963,1963-01-01,2026-04-26,,1960s/1963/Wrestling World
Wrestling World - 1963 - March.pdf,Wrestling World,March 1963,1963-03-01,2026-04-26,,1960s/1963/Wrestling World
Wrestling World - 1963 - May.pdf,Wrestling World,May 1963,1963-05-01,2026-04-26,,1960s/1963/Wrestling World
Official Wrestling - 1964 - August.pdf,Official Wrestling,August 1964,1964-08-01,2026-04-26,,1960s/1964/Official Wrestling
Official Wrestling - 1964 - February.pdf,Official Wrestling,February 1964,1964-02-01,2026-04-26,,1960s/1964/Official Wrestling
Official Wrestling - 1964 - June.pdf,Official Wrestling,June 1964,1964-06-01,2026-04-26,,1960s/1964/Official Wrestling
Official Wrestling - 1964 - May.pdf,Official Wrestling,May 1964,1964-05-01,2026-04-26,,1960s/1964/Official Wrestling
The Ring Wrestling - 1964 - August.pdf,The Ring Wrestling,August 1964,1964-08-01,2026-04-26,,1960s/1964/The Ring Wrestling
The Ring's Wrestling - 1964 - August.pdf,The Ring's Wrestling,August 1964,1964-08-01,2026-04-26,,1960s/1964/The Ring's Wrestling
The Ring's Wrestling - 1964 - June.pdf,The Ring's Wrestling,June 1964,1964-06-01,2026-04-26,,1960s/1964/The Ring's Wrestling
The Ring's Wrestling - 1964 - October.pdf,The Ring's Wrestling,October 1964,1964-10-01,2026-04-26,,1960s/1964/The Ring's Wrestling
Wrestling Confidential - 1964 - July.pdf,Wrestling Confidential,July 1964,1964-07-01,2026-04-26,,1960s/1964/Wrestling Confidential
Wrestling Confidential - 1964 - May.pdf,Wrestling Confidential,May 1964,1964-05-01,2026-04-26,,1960s/1964/Wrestling Confidential
Wrestling Confidential - 1964 - November.pdf,Wrestling Confidential,November 1964,1964-11-01,2026-04-26,,1960s/1964/Wrestling Confidential
Wrestling Confidential - 1964 - September.pdf,Wrestling Confidential,September 1964,1964-09-01,2026-04-26,,1960s/1964/Wrestling Confidential
Wrestling Revue - 1964 - February.pdf,Wrestling Revue,February 1964,1964-02-01,2026-04-26,,1960s/1964/Wrestling Revue
Wrestling Revue - 1964 - June.pdf,Wrestling Revue,June 1964,1964-06-01,2026-04-26,,1960s/1964/Wrestling Revue
Wrestling Revue - 1964 - October.pdf,Wrestling Revue,October 1964,1964-10-01,2026-04-26,,1960s/1964/Wrestling Revue
Wrestling World - 1964 - April.pdf,Wrestling World,April 1964,1964-04-01,2026-04-26,,1960s/1964/Wrestling World
Wrestling World - 1964 - August.pdf,Wrestling World,August 1964,1964-08-01,2026-04-26,,1960s/1964/Wrestling World
Wrestling World - 1964 - December.pdf,Wrestling World,December 1964,1964-12-01,2026-04-26,,1960s/1964/Wrestling World
Wrestling World - 1964 - February.pdf,Wrestling World,February 1964,1964-02-01,2026-04-26,,1960s/1964/Wrestling World
Wrestling World - 1964 - June.pdf,Wrestling World,June 1964,1964-06-01,2026-04-26,,1960s/1964/Wrestling World
The Ring's Wrestling - 1965 - August.pdf,The Ring's Wrestling,August 1965,1965-08-01,2026-04-26,,1960s/1965/The Ring's Wrestling
The Ring's Wrestling - 1965 - June.pdf,The Ring's Wrestling,June 1965,1965-06-01,2026-04-26,,1960s/1965/The Ring's Wrestling
The Ring's Wrestling - 1965 - October.pdf,The Ring's Wrestling,October 1965,1965-10-01,2026-04-26,,1960s/1965/The Ring's Wrestling
Wrestling Confidential - 1965 - December.pdf,Wrestling Confidential,December 1965,1965-12-01,2026-04-26,,1960s/1965/Wrestling Confidential
Wrestling Confidential - 1965 - January.pdf,Wrestling Confidential,January 1965,1965-01-01,2026-04-26,,1960s/1965/Wrestling Confidential
Wrestling Illustrated - 1965 - February.pdf,Wrestling Illustrated,February 1965,1965-02-01,2026-04-26,,1960s/1965/Wrestling Illustrated
Wrestling Illustrated - 1965 - January.pdf,Wrestling Illustrated,January 1965,1965-01-01,2026-04-26,,1960s/1965/Wrestling Illustrated
Wrestling Illustrated - 1965 - June.pdf,Wrestling Illustrated,June 1965,1965-06-01,2026-04-26,,1960s/1965/Wrestling Illustrated
Wrestling Illustrated - 1965 - November.pdf,Wrestling Illustrated,November 1965,1965-11-01,2026-04-26,,1960s/1965/Wrestling Illustrated
Wrestling Illustrated - 1965 - September.pdf,Wrestling Illustrated,September 1965,1965-09-01,2026-04-26,,1960s/1965/Wrestling Illustrated
