timestamp,action,duplicate,canonical,size_dup,size_canonical,note
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1969/Wrestling Revue/Wrestling Revue - 1969 - May (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1969/Wrestling Revue/Wrestling Revue - 1969 - May.pdf,13723394,13723394,
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1968/Wrestling Revue/Wrestling Revue - 1968 - December (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1968/Wrestling Revue/Wrestling Revue - 1968 - December.pdf,14811678,14811678,
2026-04-26T19:38:53,keep-size-mismatch,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1963/Wrestling Revue/Wrestling Revue - 1963 - April (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1963/Wrestling Revue/Wrestling Revue - 1963 - April.pdf,7891034,10537093,size differs - inspect manually
2026-04-26T19:38:53,keep-size-mismatch,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1963/Wrestling Revue/Wrestling Revue - 1963 - April (3).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1963/Wrestling Revue/Wrestling Revue - 1963 - April.pdf,7891034,10537093,size differs - inspect manually
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1963/Wrestling Revue/Wrestling Revue - 1963 - April (2).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1963/Wrestling Revue/Wrestling Revue - 1963 - April.pdf,10537093,10537093,
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1963/Wrestling Revue/Wrestling Revue - 1963 - December (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1963/Wrestling Revue/Wrestling Revue - 1963 - December.pdf,13900376,13900376,
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1965/Wrestling Revue/Wrestling Revue - 1965 - August (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1960s/1965/Wrestling Revue/Wrestling Revue - 1965 - August.pdf,13535097,13535097,
2026-04-26T19:38:53,keep-no-canonical,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/WON Who_s Who In Pro Wrestling (1986).pdf,,22822427,,canonical missing
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1988/WWF Magazine/WWF Magazine - 1988 - March (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1988/WWF Magazine/WWF Magazine - 1988 - March.pdf,7816190,7816190,
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1988/Wrestling Eye/Wrestling Eye - 1988 - February (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1988/Wrestling Eye/Wrestling Eye - 1988 - February.pdf,20086031,20086031,
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1986/Wrestling's Main Event/Wrestling's Main Event - 1986 - July (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1986/Wrestling's Main Event/Wrestling's Main Event - 1986 - July.pdf,14423941,14423941,
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1986/The Wrestler/The Wrestler - 1986 - June (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1986/The Wrestler/The Wrestler - 1986 - June.pdf,53339578,53339578,
2026-04-26T19:38:53,keep-size-mismatch,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1987/WWF Magazine/WWF Magazine - 1987 - April-May (1).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1987/WWF Magazine/WWF Magazine - 1987 - April-May.pdf,8634776,8633731,size differs - inspect manually
2026-04-26T19:38:53,deleted,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1987/WWF Magazine/WWF Magazine - 1987 - April-May (2).pdf,/Users/jschairb-gwp/Library/CloudStorage/GoogleDrive-josh@greatwesternproductions.com/My Drive/BACKGROUND_RESEARCH/Magazines/1980s/1987/WWF Magazine/WWF Magazine - 1987 - April-May.pdf,8633731,8633731,
